Klasse,Bluetenkopf,Stengellaenge
Margerite,7.54,36.31
Margerite,4.04,31.38
Margerite,5.76,35.59
Margerite,4.59,37.51
Margerite,7.07,44.72
Margerite,6.28,44.61
Margerite,6.3,33.74
Margerite,4.98,23.49
Margerite,4.58,32.52
Margerite,7.49,37.69
Margerite,7.04,38.25
Margerite,4.14,29.41
Margerite,5.07,25.45
Margerite,4.94,30.99
Margerite,6.87,26.29
Margerite,7.73,38.94
Margerite,8.22,32.09
Margerite,5.11,35.77
Margerite,5.46,43.4
Margerite,6.06,30.82
Gaensebluemchen,2.29,18.73
Gaensebluemchen,1.95,13.27
Gaensebluemchen,2.07,12.43
Gaensebluemchen,2.99,12.54
Gaensebluemchen,3.68,13
Gaensebluemchen,2.94,11.39
Gaensebluemchen,1.63,18.61
Gaensebluemchen,2.32,17.63
Gaensebluemchen,1.42,14.76
Gaensebluemchen,2.28,19.74
Gaensebluemchen,2.63,13.67
Gaensebluemchen,2.44,16.07
Gaensebluemchen,1.96,10.74
Gaensebluemchen,2.68,21.54
Gaensebluemchen,1.42,16.81
Gaensebluemchen,2.65,14.97
Gaensebluemchen,1.93,19.43
Gaensebluemchen,2.1,14.79
Gaensebluemchen,2.63,13.04
Gaensebluemchen,2.13,11.15
