Klasse,Bluetenkopf,Stengellaenge
Margerite,7.54,36.31
Margerite,4.04,31.38
Margerite,5.76,35.59
Margerite,4.59,37.51
Margerite,7.07,44.72
Margerite,6.28,44.61
Margerite,6.3,33.74
Margerite,4.98,23.49
Margerite,4.58,32.52
Margerite,7.49,37.69
Margerite,7.04,38.25
Margerite,4.14,29.41
Margerite,5.07,25.45
Margerite,4.94,30.99
Margerite,6.87,26.29
Margerite,7.73,38.94
Margerite,8.22,32.09
Margerite,5.11,35.77
Margerite,5.46,43.4
Margerite,6.06,30.82
Aster,3.11,58.76
Aster,4.4,46.67
Aster,5.78,45.44
Aster,2.84,49.73
Aster,3.02,31.87
Aster,3.57,45.06
Aster,4.21,37.41
Aster,4.46,45.79
Aster,4.07,32.59
Aster,3.56,40.04
Aster,4.37,58.81
Aster,3.57,55.47
Aster,2.67,38.25
Aster,5.82,40.22
Aster,4.68,51.88
Aster,3.8,60.15
Aster,4.68,59.32
Aster,3.65,33.53
Aster,1.56,41.93
Aster,3.46,51.86
