violet,blue,green,yellow,orange,red,label
6436,2398,3085,1785,2366,795,2
5289,2528,2930,1145,1225,348,2
7155,4470,3015,3809,1982,1437,2
6775,3560,2739,1604,1591,520,2
3513,1968,2001,1216,1307,525,2
5870,2486,2469,1084,1343,407,2
5680,2398,4918,2668,2729,431,2
3502,1741,1330,1500,771,580,2
5944,2721,1689,1526,1184,583,2
3809,1915,4270,2974,3050,726,2
4562,2259,2332,1298,1131,517,2
9954,4135,4632,3971,3045,693,2
3623,1964,2756,2011,1542,487,2
1155,941,1752,1574,2068,1265,0
1155,942,1752,1574,2068,1265,0
1156,942,1752,1575,2068,1265,0
1156,943,1753,1576,2070,1266,0
1156,942,1752,1574,2070,1264,0
1156,942,1751,1573,2068,1263,0
1155,940,1751,1573,2067,1263,0
1156,942,1752,1574,2069,1263,0
1157,941,1753,1574,2069,1264,0
1157,941,1752,1574,2069,1264,0
1156,943,1753,1575,2071,1265,0
1455,2070,12829,15600,16553,6342,4
1901,3471,6188,7418,4757,2740,4
1202,1904,9822,11557,9058,4563,4
697,1475,7386,8692,7848,4258,4
923,1521,6790,8670,7852,4505,4
2073,2107,9749,10555,15562,6545,4
2424,2596,8504,10306,12084,6058,4
799,1879,7795,9142,11846,5299,4
1588,1578,4174,5406,5902,3111,4
1071,2716,13119,14168,19199,8464,4
1478,2500,8990,10577,12096,5422,4
1330,1359,4390,5723,7056,3309,4
2813,1689,3606,3894,5073,3980,1
2178,914,1447,1719,2025,2405,1
1349,663,1644,1892,1851,2565,1
1193,573,1326,1223,1703,2342,1
1471,674,1995,1312,3960,3230,1
1246,745,1043,1177,1601,2488,1
1200,709,1108,1311,2127,3714,1
1078,920,2042,1295,2376,3214,1
1596,813,1561,1694,2461,2751,1
1402,793,1712,1319,2326,2899,1
837,1547,4413,2979,2116,435,3
1206,2229,3356,4272,3322,2634,3
735,2518,1500,1248,966,854,3
1451,1815,4783,1955,3249,434,3
814,2308,3059,1813,1541,476,3
900,1860,3785,2042,990,426,3
518,1459,3014,1683,1235,453,3
2558,5382,2274,2344,1100,2405,3
690,1704,1933,1412,970,450,3
900,1382,2556,1948,1603,476,3
1664,2611,2620,2185,1881,793,3
