violet,blue,green,yellow,orange,red,label
4676,3274,10269,10067,11902,4823,1
3266,2413,8485,8478,9774,4074,1
4725,3760,13777,12806,14607,5759,1
5091,3689,10981,10538,11104,4523,1
6208,4260,13049,12690,14221,5575,1
6221,4283,13741,13286,15057,5824,1
5497,3774,9466,10172,10151,4349,1
5695,3833,6704,7195,7027,3144,1
7965,5507,20137,18405,21419,8359,1
5172,3941,9683,9957,11170,5064,1
4296,3106,7151,7487,8521,3897,1
2787,2138,4052,4552,4674,2399,1
5448,3985,7623,8009,8845,4103,1
5220,3642,6848,6778,7666,3272,1
4669,3216,9117,10283,10287,5174,1
6078,4291,9446,10121,10672,4949,1
7048,4780,13521,13164,15509,6330,1
7930,5862,17596,17233,19243,7935,1
7983,5976,19271,18824,20704,8565,1
6451,5087,17001,17033,18331,7733,1
7720,5690,17468,16995,18992,7842,1
5388,3591,10319,10576,12830,5668,1
3484,2311,8508,8901,10229,4675,1
5830,3947,12434,12148,15655,6698,1
6798,4961,14904,14453,18133,7639,1
6169,4441,12786,12452,15408,6514,1
6449,4636,12724,13427,14684,6673,1
7638,5479,13949,14726,16249,7401,1
7744,5721,15042,14966,17424,7364,1
7165,5130,16198,15852,18853,7842,1
411,246,688,676,832,338,2
463,276,643,647,815,328,2
592,365,787,785,992,384,2
652,378,984,978,1238,497,2
574,351,689,711,860,371,2
439,264,458,513,570,274,2
392,246,631,637,795,330,2
538,332,669,694,855,362,2
577,340,895,910,1102,447,2
318,208,365,419,472,235,2
158,178,587,616,690,299,2
647,398,411,449,495,235,2
585,379,1113,1084,1318,522,2
650,388,1222,1140,1525,595,2
458,314,995,982,1203,489,2
655,404,1057,1066,1303,510,2
608,388,963,956,1184,464,2
508,306,667,749,861,397,2
483,320,740,812,942,398,2
529,318,793,810,992,390,2
531,313,843,877,1012,418,2
588,405,795,872,924,400,2
315,223,857,873,1044,405,2
511,331,1091,1123,1347,527,2
577,366,938,985,1155,452,2
2885,3469,2877,4486,6440,1433,3
5338,3695,14404,11453,12075,2056,3
4491,3619,15526,15103,11116,2313,3
5731,3071,9270,18216,4435,5262,3
6203,2959,14247,15275,7841,3912,3
3179,1018,5800,3268,7292,1587,3
29402,5987,3255,4009,3548,4816,3
16699,6376,19647,19603,19102,4804,3
2447,2962,5190,6042,3336,4220,3
7219,3837,15804,15780,12051,2349,3
9761,15779,5565,4079,3929,2101,3
12008,6837,5638,4981,8432,3750,3
4498,2764,11659,12280,11470,4594,3
8008,3070,16158,15800,14883,3883,3
11480,1869,3324,10799,6875,6639,3
9493,4107,17879,6229,20099,1904,3
15750,2037,5432,6337,8587,3632,3
24667,14180,51201,51201,51201,3198,3
15221,10433,6741,8178,6850,2861,3
39053,4914,11309,8378,10760,1774,3
5093,3098,22850,12396,20067,2440,3
3301,2605,5921,4446,5029,2209,3
2350,1798,3202,3432,4226,1729,3
6195,2417,14552,6841,15474,2126,3
4116,2159,5213,4687,5703,1555,3
18158,8282,12834,27335,26889,20243,3
23004,17213,11200,11300,12297,7980,3
237,326,2226,12814,1823,5429,3
3166,1486,41851,41187,42309,5004,3
27681,5026,50181,51201,50419,7811,3
4765,1762,15782,8546,14858,1403,3
10748,3491,12815,7318,14176,2766,3
